NPS_Wells_ID,Alternate_ID,Park,Ownership,State,Status,Status_Num,Type,Lat_dd,Long_dd,Lat_Long_Ref,Access Details,Qualifier_CD,Completion_Date,Qualifier_D,Depth_ft,Qualifer_YT,YieldTest_Rate_gpm,YieldTest_Date,YieldTest_Ref,Well Documents,Photo,State_Database,IRMA_Docket,IRMA_Docket_Link,IRMA_Technical,IRMA_Technical_Link,IRMA_Aquarius,USGS_NWIS,USGS_NGWMN,WQP_SiteID,WQP_Data_Link,eTIC2_Pubs,PHS,State_OG_Database,FMSS Location ID#,Comments
BEOL_W_012,USGS 380228103254600 SC02305414CDC,BEOL,USGS,CO,Unknown,4,Monitoring,38.0411343,-103.4299615,NWIS ,,Un,1/1/1000,Ex,32,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380228103254600,,,,,,,,
BEOL_W_013,Fort Well; MW-2;USGS 380227103254701 SC02305414DDD,BEOL,NPS,CO,Active,1,Monitoring,38.04066,-103.42986,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Po,1/1/2001,Ap,10.8,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,"Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380227103254701,,,,,,,,2 in steel casing. Intact locking cap and protective plastic case. 
BEOL_W_014,USGS 380222103260500 SC02305423BBB,BEOL,USGS,CO,Unknown,4,Monitoring,38.0394653,-103.43523,NWIS ,,Un,1/1/1000,Ex,34,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380222103260500,,,,,,,,
BEOL_W_015,USGS 380230103260500 SC02305414CCC,BEOL,USGS,CO,Unknown,4,Monitoring,38.0416913,-103.435228,NWIS ,,Un,1/1/1000,Ex,49,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380230103260500,,,,,,,,Possibly the same well as BEOL_W_004.
BEOL_W_016,USGS 380238103260200 SC02305414CCB,BEOL,USGS,CO,Unknown,4,Monitoring,38.04390,-103.43440,NWIS ,,Un,1/1/1000,Ex,41,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380238103260200,,,,,,,,Possibly the same well as BEOL_W_003.
BEOL_W_017,USGS 380245103255900 SC02305414CBC,BEOL,USGS,CO,Unknown,4,Monitoring,38.04584,-103.43356,NWIS ,,Un,1/1/1000,Ex,43,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380245103255900,,,,,,,,Well is located in a private tract within the park boundary
BEOL_W_018,USGS 380249103260500 SC02305414CBB,BEOL,USGS,CO,Unknown,4,Monitoring,38.04696,-103.43523,NWIS ,,Un,1/1/1000,Ex,45,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380249103260500,,,,,,,,Well is located in a private tract within the park boundary
BEOL_W_019,USGS 380253103253400 SC02305414CAA,BEOL,USGS,CO,Unknown,4,Monitoring,38.04807,-103.42661,NWIS ,,Un,1/1/1000,Ex,29,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380253103253400,,,,,,,,
BEOL_W_020,USGS 380202103251600 SC02305423ADC,BEOL,USGS,CO,Unknown,4,Monitoring,38.03391,-103.42162,NWIS ,,Un,1/1/1000,Ex,29,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380202103251600,,,,,,,,Possbily the same well as BEOL_W_006.
BEOL_W_021,MW-4; Case Bolt Wetland Well,BEOL,NPS,CO,Unknown,4,Monitoring,38.03556,-103.43523,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,3/31/2001,Ap,4.11,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,"Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,Well is in poor condition (2015). 
BEOL_W_022,MW-9; Trail Well ,BEOL,NPS,CO,Unknown,4,Monitoring,38.03766,-103.42581,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,3/31/2001,Ap,6.27,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,"Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,Well is partially filled; in poor condition (2015). 
BEOL_W_023,MW-12; Kiosk Well; MW-11,BEOL,NPS,CO,Unknown,4,Monitoring,38.04029,-103.42361,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,3/31/2001,Ap,4.78,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,"Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,
BEOL_W_024,MW-18,BEOL,NPS,CO,Unknown,4,Monitoring,38.04065,-103.43241,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,5/15/2001,Ap,0.5,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,"Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,"Well was likely 4.5+ m deep when installed, but it has filled in to 6"" below TOC as of 2015. "
BEOL_W_025,Railroad Well ,BEOL,NPS,CO,Unknown,4,Monitoring,38.03384,-103.41846,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,5/15/2001,Ap,7.5,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,"Sumary of Historical Record (Stevenson, 2018); Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,Not in use. Not plugged. Mostly destroyed; likely run over by lawn mower. (2022)
BEOL_W_026,Piezometer Well 1 (AQ),BEOL,NPS,CO,Active,1,Monitoring,38.040759,-103.4287374,Nov 2016 Survey,,Ap,11/1/2016,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%201/Interval/Latest,,,,,,,,,Constructed in Nov. 2016 as part of a new monitoring network. 
BEOL_W_027,Piezometer Well 2 (AQ),BEOL,NPS,CO,Active,1,Monitoring,38.0406737,-103.4298559,Nov 2016 Survey,,Ap,11/1/2016,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%202/Interval/Latest,,,,,,,,,Constructed in Nov. 2016 as part of a new monitoring network. 
BEOL_W_028,Piezometer Well 3 (AQ),BEOL,NPS,CO,Active,1,Monitoring,38.0386553,-103.4298065,Nov 2016 Survey,,Ap,11/1/2016,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,Yes,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%203/Interval/Latest,,,,,,,,,Constructed in Nov. 2016 as part of a new monitoring network. 
BEOL_W_029,Piezometer Well 5 (AQ),BEOL,NPS,CO,Active,1,Monitoring,38.04506,-103.43273,Aquarius,,Ap,4/1/2018,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%205/Interval/Latest,,,,,,,,,Constructed in Spring 2018  as part of a new monitoring network. 
BEOL_W_030,Piezometer Well 6 (AQ),BEOL,NPS,CO,Active,1,Monitoring,38.0463,-103.42998,Aquarius,,Ap,4/1/2018,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%206/Interval/Latest,,,,,,,,,Constructed in Spring 2018 as part of a new monitoring network. 
BEOL_W_031,Piezometer Well 18 (AQ),BEOL,NPS,CO,Unknown,4,Monitoring,38.04063,-103.43239,Aquarius,,Un,1/1/1000,Ap,19.2,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,,,,,,https://irma.nps.gov/AQWebPortal/Data/Location/Summary/Location/BEOL_Well%2018/Interval/Latest,,,,,,,,,
BLCA_W_001,CF Well; Permit #294412,BLCA,NPS,CO,Unknown,4,Supply,38.53786,-107.715673,CO DWR Well Application,,Ex,6/6/2014,Ex,403,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,Yes,https://dwr.state.co.us/Tools/WellPermits/9403176A,BLCA 001,https://irma.nps.gov/DataStore/Collection/Profile/9132,"A brief discussion of the potential… (Martin,  2005)",https://irma.nps.gov/DataStore/Collection/Profile/9130,,,,,,,,,,
BLCA_W_002,Sanburg Well; Permit #294413; Jones Draw well; Capstone well,BLCA,NPS,CO,Unknown,4,Supply,38.555811,-107.709693,CO DWR Well Application,,Ex,5/27/2014,Ex,160,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,Yes,https://dwr.state.co.us/Tools/WellPermits/9403176B,,,"A brief discussion of the potential… (Martin,  2005)",https://irma.nps.gov/DataStore/Collection/Profile/9130,,,,,,,,,,
BLCA_W_003,TDX Well; Permit #251732,BLCA,NPS,CO,Unknown,4,Supply,38.532338,-107.689852,CO DWR Well Application,,Ex,8/14/2003,Ex,300,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,Yes,https://dwr.state.co.us/Tools/WellPermits/9401495,,,,,,,,,,,,,,Well should be abandoned per conditions of approval for #251732-A. 
BLCA_W_004,Permit #251732-A,BLCA,NPS,CO,Active,1,Supply,38.532338,-107.689852,CO DWR Well Application,,Ex,8/20/2008,Ex,100,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,No,https://dwr.state.co.us/Tools/WellPermits/9402625,,,,,,,,,,,,,,Replaced permit #251732.
BLCA_W_005,Permit #256806,BLCA,Private,CO,Unknown,4,Supply,38.569245,-107.636336,CO DWR Well Application,,Ex,6/6/2004,Ex,12,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,No,https://dwr.state.co.us/Tools/WellPermits/9401713C,,,,,,,,,,,,,,Gallery well dug by owner. Livestock uses. 
BLCA_W_006,Permit #256807,BLCA,Private,CO,Unknown,4,Supply,38.570581,-107.639794,CO DWR Well Application,,Ex,6/9/2004,Ex,12.5,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,No,https://dwr.state.co.us/Tools/WellPermits/9401713D,,,,,,,,,,,,,,Gallery well dug by owner. Livestock uses. 
BLCA_W_007,East Portal Water System Well; Permit #45470,BLCA,NPS / BLM,CO,Active,1,Supply,38.524449,-107.649805,CO DWR Well Application,,Un,1/1/1000,Un,0,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BLCA?csf=1&web=1&e=PkKs3v,Yes,https://dwr.state.co.us/Tools/WellPermits/0903869,,,,,,,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-vrp-oph/FSB/Reports/Field_Reports/IMR/BLCA/EHSurvey?csf=1&web=1&e=oY3RUE,,75199,Information from 2018 NPS PHS report. Well application estimated March 1971 start of drilling and 70 ft total depth. No other construction information available. 
COLM_W_001,Robb Artesian Well; Permit #153353,COLM,NPS,CO,Plugged & Abandoned,3,Supply,39.035019,-108.627263,Approx. location  per Docket 002 (same as Well C),,Ap,5/1/1925,Ex,240,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/WellPermits/0013376,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,"No trace of well has been found (as of 2022), assumed obliterated completely (caved in) OR Robb Artesian well was deepened & renamed ""Well C"". "
COLM_W_002,Welby Schrader Well No. 1; WDID 7205018,COLM,NPS,CO,Unknown,4,Supply,39.038752,-108.627454,CO DWR Point of Diversion Structure 7205018,,Ex,7/3/1946,Ex,444,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/Structures/7205018,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Limited construction information discussed in 1947 Well Records.
COLM_W_003,Well A,COLM,NPS,CO,Plugged & Abandoned,3,Test,39.03363172,-108.6326418,"Approx. location per 1952 Record of Well ""Well A"" ",,Ex,10/10/1952,Ex,145,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Well was not developed due to lack of adequate or reliable water. Plugged in June 1953. No official abandonment report available. 
COLM_W_004,Well B,COLM,NPS,CO,Plugged & Abandoned,3,Test,39.03437146,-108.6286721,"Approx. location per 1953 Record of Well ""Well B""",,Ex,2/10/1953,Ex,66,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Well was not developed due to lack of sufficient water flow. Plugged in June 1953. No official abandonment report available. 
COLM_W_005,Well C; Robb Artesian Well; WDID 7205014,COLM,NPS,CO,Plugged & Abandoned,3,Supply,39.035019,-108.627263,CO DWR Physical GPS Location (Structure) ,,Ex,9/7/1954,Ex,258,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/Structures/7205014,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,"Capped well in the well house. Well C was, allegedly, a deepening and cleaning of the old Robb Artesian Well (see pg 1, Docket 002). Well C was plugged & abandoned (see pg 109, Docket 002) after replacement well (East Entrance well) was drilled in 1972. Alt. location (per pg 56, Docket 002) is Sec 30, Twn 1 S, Rng 1 W, Ute PM, 276 ft from E, 319 ft. from S. (39.0349021, -108.62726821 WGS84) "
COLM_W_006,East Entrance Well; Permit #153353; Replacement for Well C/Robb Artesian Well; UC-001-001-30 DDD,COLM,NPS,CO,Unknown,4,Supply,39.034728,-108.626797,CO DWR Well Application,,Ex,5/26/1972,Ex,303,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/WellPermits/0013376,COLM 002,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Replaced Well C/Robb Artesian Well. East Entrance Well is 140 ft from Well C.  Raw well test data available in Docket. 
COLM_W_007,West Entrance #1 Well; Permit #031959-F; COLM C3212 BFA1 Well,COLM,NPS,CO,Plugged & Abandoned,3,Supply,39.118921,-108.731474,CO DWR Well Application,,Ex,10/23/1980,Ex,80,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/WellPermits/0011416B,COLM 004,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Well was deemed unncessary after a water service agreement was put in place with Ute Water Conservancy District. Plugged & abandoned in 1995.
COLM_W_008,West Entrance #2 Well; Permit #031958-F; 25250-F; COLM G3212 BFA Well,COLM,NPS,CO,Plugged & Abandoned,3,Supply,39.118921,-108.731474,CO DWR Well Application,,Ex,10/27/1980,Ex,50,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/WellPermits/0011416A,COLM 004,https://irma.nps.gov/DataStore/Collection/Profile/9131,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,Well was deemed unncessary after a water service agreement was put in place with Ute Water Conservancy District. Plugged & abandoned in 1995.
COLM_W_009,Permit #122932; Privitera #1 ,COLM,Private,CO,Unknown,4,Supply,39.051008,-108.657215,CO DWR Well Application,,Ex,2/8/1982,Ex,258,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/COLM?csf=1&web=1&e=BIUYp2,,https://dwr.state.co.us/Tools/WellPermits/0220151,,,,https://irma.nps.gov/DataStore/Collection/Profile/9133,,,,,,,,,,
